# Constructed from biom file
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
c9868b744aa3ca59cad919fbc7921d50	15980.0	31830.0	23905.0	15872.0	20820.0	55602.0	40888.0	32437.0	438.0	18766.0	12029.0	70060.0	31690.0	17919.0
472bdcaecb965c5a4355f149b40be485	0.0	0.0	3.0	126399.0	191669.0	0.0	0.0	0.0	0.0	36468.0	14529.0	0.0	0.0	0.0
8960b4addd0732c9da14c7eec3fbc30a	16405.0	30846.0	22638.0	14610.0	19907.0	52895.0	37516.0	31252.0	502.0	14509.0	9121.0	66977.0	29533.0	19563.0
bb8dd1f40cfb0c42e130da560782aeb4	0.0	0.0	0.0	100752.0	157539.0	0.0	0.0	0.0	0.0	28355.0	27653.0	0.0	0.0	0.0
a57addb048a66fe296f882b97dfe44f1	7568.0	16990.0	11658.0	11899.0	16671.0	34081.0	24402.0	13968.0	219.0	6222.0	4144.0	32133.0	16225.0	9071.0
a42a32ed0dbfaa4bdfa4429b0af5de4d	7400.0	15688.0	15719.0	6755.0	8494.0	24914.0	17475.0	17526.0	158.0	6758.0	3411.0	33158.0	17639.0	8159.0
08472f79a574ca9a0b918b7046cd3b1a	6351.0	14800.0	9035.0	9480.0	13718.0	25301.0	18968.0	10698.0	145.0	5844.0	6492.0	26559.0	13328.0	7471.0
cd40164184a876a3495a2f6e46250852	4477.0	11663.0	10553.0	5075.0	6912.0	19622.0	13316.0	11730.0	0.0	6752.0	3416.0	24315.0	12371.0	5104.0
2d5a81068baa240feb1fdbd235feb5db	5052.0	10203.0	6804.0	6606.0	8854.0	17343.0	12767.0	7605.0	190.0	4021.0	1615.0	20307.0	8843.0	5220.0
c0acf69ac1b86f091d78e06eb1dd3e69	5106.0	10316.0	6633.0	6290.0	8956.0	17171.0	12660.0	7440.0	130.0	4570.0	2049.0	19968.0	8253.0	4803.0
d0ad8f80dea20b360f5f6b0328c1c772	2873.0	6454.0	5067.0	3255.0	4344.0	13171.0	9493.0	8126.0	83.0	2436.0	1456.0	19349.0	8152.0	3192.0
2c8de15eb7f76adcd8e6efc1d1643f9c	0.0	0.0	0.0	28596.0	40589.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
778e0b407000438117d98be9f6991f30	0.0	0.0	0.0	25223.0	34631.0	0.0	0.0	0.0	0.0	8.0	12.0	0.0	0.0	0.0
eb7185b49a1396b245a3d420b5589969	2774.0	4965.0	3640.0	2200.0	2786.0	10146.0	6905.0	4715.0	0.0	2005.0	1027.0	9062.0	4268.0	3151.0
